year,originCountry,refugees,happinessScore,lifeLadder,logGDPperCapita,socialSupport,healthyLifeExpectancyAtBirth,freedomToMakeLifeChoices,generosity,perceptionsOfCorruption,positiveAffect,negativeAffect,GINIofHouseholdIncome
2010,Sudan,178308,,4.435159683,8.121508598,0.854824424,52.66412735,0.648155332,-0.049266271,0.736897171,0.668583095,0.220789164,0.495025724
2010,Iraq,34655,,5.065462112,9.450741768,0.854117811,59.67731857,0.419064105,-0.162882462,0.858734667,0.541775107,0.430934399,0.279507458
2010,Ukraine,3022,,5.057561398,8.965014458,0.883555114,62.34814072,0.483833194,-0.170597658,0.953752279,0.512682855,0.227200434,0.353188962
2010,Syria,1501442,,4.464707851,8.569223404,0.934231639,62.76543808,0.647047997,0.010572175,0.743093967,0.557651937,0.224643707,0.49800685
2010,Pakistan,1900621,,5.786132813,8.362550735,0.571315944,56.12927246,0.364205927,0.286344051,0.8516559,0.650707901,0.371941417,0.410454541
2010,CAR,21574,,3.567892551,6.788980007,0.483333886,40.07659531,0.689950883,-0.012267672,0.845376968,0.523006201,0.256705284,0.552912951
2010,Venezuela,201547,,7.47845459,9.713837624,0.931575835,63.98104858,0.768256962,-0.170376584,0.754268944,0.861522317,0.129685894,0.313196361
2010,Yemen,190092,,4.35031271,8.407097816,0.726612389,53.5766449,0.659283996,-0.108765841,0.853403211,0.582426667,0.308332771,0.403628409
2010,Colombia,212,,6.40811348,9.296564102,0.892992675,63.07895279,0.816121101,-0.056406017,0.814524472,0.83062613,0.264659166,0.467719555
2010,Nigeria,8747,,4.760275841,8.546782494,0.823823035,43.30582428,0.565351069,0.054936271,0.910719037,0.782049537,0.19034341,0.43065536
2010,Afghanistan,6434,,4.75838089,7.386628628,0.539075196,50.00896072,0.60012722,0.137630194,0.706766069,0.61826545,0.275323808,0.327318162
2011,Sudan,139415,,4.314456463,8.197445869,0.817785621,52.99749756,0.582538784,-0.030171286,0.662519455,0.585826457,0.248500824,0.563912511
2011,Iraq,35189,,4.725366116,9.492628098,0.750748634,59.87126541,0.347414047,-0.108193077,0.780027211,0.487618536,0.557098687,0.264834195
2011,Iran,886468,,4.767507076,9.808743477,0.582237065,64.34128571,0.797573686,0.165459588,0.664581537,0.578113675,0.359067976,0.539592624
2011,Ukraine,3176,,5.083132744,9.021823883,0.859458685,62.83075714,0.57866931,-0.209895223,0.932535291,0.59043014,0.21964775,0.360350966
